jugador;partidos_amonestado
Amir Murillo;1
Amir Rrahmani;1
Amjad Al-Harthi;2
Amjad Attwan;2
Ammar Taifour;2
Anan Yodsangwal;1
Anderson Correia;1
Anderson Santamaría;1
Andi Zeqiri;1
Andraž Šporar;1
Andre Rampersad;1
Andrea Cambiaso;1
Andrea Contadini;1
Andreas Bouchalakis;1
Andreas Christensen;1
Andreas Hanche Olsen;1
Andreas Pereira;1
Andrei Burcă;2
Andrej Kramarić;1
Andrejs Cigaņiks;1
Andrew Mbeba;1
Andrew Teuten;1
Andrey Mostovoy;1
Andri Guðjohnsen;2
Andrian Kraev;1
Andrias Edmundsson;1
Andrija Bulatovic;2
Andrija Vukčević;1
Andrija Živković;2
András Schäfer;2
André;2
André Carrillo;1
André Poko;1
Andrés Andrade;1
Andrés Cubas;5
Andrés Román;1
Andy Najar;1
Andy Robertson;1
Anfernee Jamal Dijksteel;1
Ange-Freddy Plumain;1
Angel Arthee;1
Angelo Stiller;1
Anicet Ishimwe;1
Anis Hadj Moussa;4
Anseani Pohe Tokpa;1
Ante Budimir;3
Anthony Baron;1
Anthony Caceres;1
Anthony Gordon;1
Anthony Moris;1
Antoine Conte;1
Antoine Griezmann;2
Antoine Mendy;1
Anton Kryvotsiuk;3
Anton Miranchuk;1
Anton Salétros;1
Antonee Robinson;2
Antonijs Černomordijs;2
Antonio Rüdiger;5
Antonín Barák;1
Antreas Shikkis;2
Anujan Rajendram;1
Anzor Mekvabishvili;2
Aníbal Godoy;4
Ao Tanaka;1
Aprocious Petrus;1
Arda Güler;5
Aref Aghasi;2
Aria Yousefi;2
Ariel Arauz;1
Arijanet Murić;2
Arjan Malić;1
Arlind Ajeti;1
Armando Obispo;1
Armin Gigović;2
Aron Rodrigo;1
Arshad Al-Alawi;1
Artem Bondarenko;1
Artemijus Tutyškinas;1
Arthur Avom Ebong;2
Arthur Gitego;1
Arthur Masuaku;3
Arthur Theate;2
Artur Crăciun;1
Artur Dolznikov;2
Arturo González;1
Arturo Vidal;2
Ashique Kuruniyan;1
Athir Abdo Gaber;1
Attila Fiola;3
Attila Osváth;1
Attila Szalai;3
Aubrey Modiba;2
Augustus Kargbo;1
Aurèle Amenda;2
Aurélien Tchouaméni;4
Austin Harrison Uzondu;1
Ayase Ueda;1
Aymen Al Tihar;1
Aymen Dahmen;1
Aymeric Laporte;1
Ayoub Ghezala;1
Ayoub Mouloua;1
Ayoze Pérez;2
Ayumu Seko;1
Aziz Kayondo;2
Azwan Ali Rahman;1
Azzedine Ounahi;2
Baba Alhassan;1
Babacar Niasse;1
Bagdat Kairov;2
Baghdad Bounedjah;3
Bahlul Mustafazada;1
Baihelamu Abuduwaili;4
Bailey Cadamarteri;1
Bakari Mwamnyeto;2
Bakhit Khamis;1
Baktiyor Zaynutdinov;2
Barna Tóth;1
Barnabás Varga;6
Bartosz Salamon;1
Bartosz Slisz;3
Barış Alper Yılmaz;4
Bassam Al Rawi;2
Bathusi Aubaas;1
Beknaz Almazbekov;1
Beksulov Arlen;1
Ben Brereton Díaz;1
Ben Davies;2
Ben Gannon-Doak;1
Ben White;1
Bendegúz Bolla;1
Beneyam Demte;1
Benjamin Cremaschi;1
Benjamin Donato;1
Benjamin Kuscevic;2
Benjamin Källman;2
Benjamin Old;1
Benjamin Tahirović;4
Benson Sakala;1
Beranger Itoua;2
Berat Djimsiti;1
Bereket Waza;1
Bernardo Silva;2
Bertuğ Yıldırım;1
Besfort Zeneli;1
Beto;1
